hood,centroid
Marshall-Shadeland,POINT(-80.0340446095419 40.469538448312)
Overbrook,POINT(-79.9970106233399 40.3834363872329)
Lincoln Place,POINT(-79.9140450754934 40.3714506827672)
Banksville,POINT(-80.0393519596282 40.4102537480296)
Knoxville,POINT(-79.9929930810507 40.4135422932418)
Sheraden,POINT(-80.0567751376167 40.4554263188116)
Esplen,POINT(-80.054754238754 40.4610977999932)
South Side Flats,POINT(-79.9745960439123 40.4269928774688)
South Side Slopes,POINT(-79.9773152181275 40.4217203527324)
Arlington,POINT(-79.967961026641 40.4144662515947)
East Carnegie,POINT(-80.0745445410402 40.4202041583389)
Friendship,POINT(-79.934383053089 40.4609814096177)
Polish Hill,POINT(-79.9662351280981 40.4576538864729)
Crawford-Roberts,POINT(-79.983786591983 40.4427417743083)
Westwood,POINT(-80.0485239480085 40.4329293413365)
Beltzhoover,POINT(-80.0034379341286 40.4165449521673)
East Hills,POINT(-79.8752830012469 40.4539242595267)
Central Lawrenceville,POINT(-79.9536171973894 40.4728621035711)
Allegheny Center,POINT(-80.0067295046849 40.4527470626617)
Bluff,POINT(-79.984946757372 40.4363530129029)
Lincoln-Lemington-Belmar,POINT(-79.8969048084796 40.4762337205655)
Greenfield,POINT(-79.9376419713074 40.4244018006829)
Stanton Heights,POINT(-79.9369514972366 40.4815903279653)
Windgap,POINT(-80.0752145570486 40.4561161717381)
Point Breeze North,POINT(-79.9020939326068 40.4516614857715)
Point Breeze,POINT(-79.9076491469644 40.4457079329688)
Garfield,POINT(-79.9378386229488 40.4682939178303)
Oakwood,POINT(-80.0658148696361 40.4269271429786)
Upper Lawrenceville,POINT(-79.9498353136694 40.4829678901779)
Morningside,POINT(-79.9273686360602 40.483673572951)
North Shore,POINT(-80.005995258463 40.4482628801876)
South Shore,POINT(-80.010329043885 40.4361899824636)
Summer Hill,POINT(-80.0080993517991 40.4922043322925)
Shadyside,POINT(-79.9323307878319 40.4534860184457)
Crafton Heights,POINT(-80.0525792196763 40.4450290362573)
Chateau,POINT(-80.0275572979567 40.4527240172795)
Terrace Village,POINT(-79.9696100299646 40.4437365471998)
Hays,POINT(-79.9471163839469 40.3922640022722)
Mount Oliver Borough,POINT(-79.9856073814884 40.4112810148319)
Homewood South,POINT(-79.8928777902457 40.4533329034415)
Homewood West,POINT(-79.9039521739602 40.4594369374929)
Northview Heights,POINT(-80.0025817343067 40.4775957667981)
New Homestead,POINT(-79.9225326984977 40.3879344123769)
Middle Hill,POINT(-79.9728931792909 40.4477220842374)
Fairywood,POINT(-80.0847436493778 40.450739971939)
Ridgemont,POINT(-80.0344097537009 40.4270350875825)
Spring Hill-City View,POINT(-79.9952443479352 40.4671678119136)
Perry South,POINT(-80.01413522408 40.4682161734666)
Spring Garden,POINT(-79.9891872896361 40.4684768118566)
Perry North,POINT(-80.0175287123781 40.4861440807761)
Fineview,POINT(-80.0042574428394 40.462806966469)
Central Northside,POINT(-80.0109899754175 40.4569506853911)
Allegheny West,POINT(-80.0143894018762 40.4508422832041)
East Allegheny,POINT(-79.9977931601457 40.4554449653627)
Manchester,POINT(-80.0250531612595 40.4555050280104)
Brighton Heights,POINT(-80.0369166035207 40.4833284114574)
California-Kirkbride,POINT(-80.0218552434782 40.4599371296378)
Duquesne Heights,POINT(-80.0247238858397 40.4353142820385)
Elliott,POINT(-80.0387486930838 40.4443607016139)
Allentown,POINT(-79.9937946550093 40.422972820054)
Chartiers City,POINT(-80.070600605246 40.4578428407588)
West End,POINT(-80.0325646501296 40.4369520609837)
Arlington Heights,POINT(-79.961238699927 40.4164191372375)
Brookline,POINT(-80.0125993630857 40.3964647033835)
Bon Air,POINT(-80.0012116434848 40.4077266035745)
Swisshelm Park,POINT(-79.9049112259491 40.4212655978456)
St. Clair,POINT(-79.9722094251021 40.4088276885767)
Mt. Oliver,POINT(-79.9793773803813 40.4108846781669)
Squirrel Hill North,POINT(-79.9294084909702 40.443580365496)
Homewood North,POINT(-79.890169025949 40.459090886561)
Regent Square,POINT(-79.8975650095757 40.4329215234973)
Glen Hazel,POINT(-79.9304420150176 40.4060079554801)
Highland Park,POINT(-79.917158234992 40.4776303124105)
Larimer,POINT(-79.9121207528589 40.4622654426343)
East Liberty,POINT(-79.9246125032715 40.4646664892671)
Strip District,POINT(-79.9810007170675 40.4538313225649)
Central Business District,POINT(-79.9984399848352 40.4408225096282)
Lower Lawrenceville,POINT(-79.9643566090073 40.4647792052496)
Central Oakland,POINT(-79.9546501382236 40.4386233089394)
North Oakland,POINT(-79.953555187129 40.448283862986)
West Oakland,POINT(-79.9661614199629 40.4401072686673)
South Oakland,POINT(-79.9595780137506 40.4329563246658)
Bedford Dwellings,POINT(-79.9743894024794 40.4510529749064)
Upper Hill,POINT(-79.9598053609849 40.4531827328316)
Bloomfield,POINT(-79.9462038655859 40.4604214100389)
Hazelwood,POINT(-79.941136367146 40.4123759399363)
Squirrel Hill South,POINT(-79.9227132535679 40.4300574419898)
Carrick,POINT(-79.9860474328752 40.3949586989493)
Beechview,POINT(-80.024575775102 40.4126289529888)
Troy Hill,POINT(-79.9830036351392 40.462798909429)
Mount Washington,POINT(-80.010659535684 40.4267558804623)
